rank,agency_name,website,domain,city,county,state,headcount,headcount_source,headcount_verified,verify_status,agency_score,signals_fired,smb_verticals,source_notes
1,Jives Media,https://www.jivesmedia.com/digital-marketing-agency-in-sterling/,jivesmedia.com,,Prince William,VA,8,team_page_count,False,unverified_size,25,"H02[fired]:home_services, retail, legal|H04[fired]:clutch\.co|H06[not_found]:","home_services,retail,legal",places_census:digital marketing agency Dumfries VA; maps=https://maps.google.com/?cid=795583788514500811&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
2,Stafford Technologies,https://staffordtechnologies.net/?utm_source=gmb&utm_medium=referral,staffordtechnologies.net,,Stafford,VA,,,False,unverified_size,25,"H02[fired]:contractor, legal|H06[not_found]:|H07[fired]:HubSpot","contractor,legal",places_census:digital marketing agency Stafford VA; maps=https://maps.google.com/?cid=3473958365645080805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,360 Marketing Online,http://www.360marketingonline.com/,360marketingonline.com,,Fredericksburg,VA,,,False,unverified_size,20,H02[fired]:home_services|H06[not_found]:|H07[fired]:highlevel,home_services,places_census:digital marketing agency Dumfries VA; maps=https://maps.google.com/?cid=16473231853718375667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4,Hive Marketing,https://www.hivemarketingteam.com/,hivemarketingteam.com,,Fredericksburg,VA,,,False,unverified_size,5,H02[fired]:home_services|H06[not_found]:,home_services,places_census:digital marketing agency Springfield VA; maps=https://maps.google.com/?cid=15714775195042967272&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,Pixel This Marketing - HQ,https://pixelthismarketing.com/,pixelthismarketing.com,,Prince William,VA,,,False,unverified_size,0,H06[not_found]:,,places_census:digital marketing agency Springfield VA; maps=https://maps.google.com/?cid=2003894993678963410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
